REPORTING YEAR,INSTITUTION OR ORGANIZATION,TYPE OF INSTITUTION OR ORGANIZATION,CITY,STATE,CREDIT CARD ISSUER,STATUS,IN EFFECT AS OF BEGINNING OF NEXT YEAR,TOTAL OPEN ACCOUNTS AS OF END OF REPORTING YEAR,PAYMENTS BY ISSUER,NEW ACCOUNTS OPENED IN REPORTING YEAR
2012,Erskine College Alumni Association,Alumni Association,Due West,SC,Capital One,Same,Yes,7,372.52,1
2012,"Northeast Triskelion, Inc",Other,New York,NY,Capital One,New,Yes,12,347.18,3
2012,Northwest College Foundation,Foundation,Powell,WY,UMB Bank,New,Yes,15,324,1
2012,Delta Iota House Corp.,Other,Denver,CO,Capital One,New,Yes,5,313.36,-
2012,Project Management Institute,Other,Newton Square,PA,UMB Bank,New,Yes,52,306,-
2012,Polytechnic Institute Alumni Association,Alumni Association,Brooklyn,NY,UMB Bank,Same,Yes,25,295,4
2012,"La Sierra University, La Sierra Alumni Association",Alumni Association,Riverside,CA,"FIA Card Services, N.A.",Same,Yes,20,275.54,-
2012,Indiana University of Pennsylvania Alumni Association,Alumni Association,Indiana,PA,"FIA Card Services, N.A.",Amended,No,3044,266.97,1
2012,Phi Kappa Sigma Intl. Fraternity,Other,Chester Springs,PA,UMB Bank,New,Yes,10,266,1
2012,California State University Stanislaus,University,Turlock,CA,"FIA Card Services, N.A.",Amended,No,47,254.97,-
2012,UMKC Alumni Association,Alumni Association,Kansas City,MO,UMB Bank,Same  ,Yes  ,7,252,1
2012,"Phi Lota Alpha Fraternity, Inc.",Other,Brooklyn,NY,UMB Bank,New,Yes,23,215,4
2012,SUNYIT Alumni Association,Alumni Association,Utica,NY,Capital One,New,Yes,1,129.53,1
2012,Lambda Theta Phi,Other,Parsippany,NJ,UMB Bank,New,Yes,20,112,1
2012,St. Louis College of Pharmacy Alumni Association,Alumni Association,St. Louis,MO,UMB Bank,Same,Yes,3,98,-
2012,Lock Haven University Alumni Association,Alumni Association,Lock Haven,PA,Capital One,Same,Yes,6,91.59,2
2012,Lambda Sigma Upsilon Latino Fraternity,Other,Hoboken,NJ,UMB Bank,New,Yes,8,88,2
2012,UMKC Bloch School of Business,University,Kansas City,MO,UMB Bank,Same  ,Yes  ,2,85,1
2012,"Lake Sumter Community College Foundation, Inc.",Foundation,Leesburg,FL,Capital One,Same,Yes,2,81.97,1
2012,Morehouse School of Medicine National Alumni Association,Alumni Association,Atlanta,GA,Capital One,Same,Yes,1,63.68,-
2012,East Stroudsburg University of Pennsylvania,University,East Stroudsburg,PA,Pennsylvania State Employees Credit Union,Same,Yes,391,45,9
2012,Harrisburg Area Community College,University,Harrisburg,PA,Pennsylvania State Employees Credit Union,Same,Yes,88,45,9
2012,Kutztown University of Pennsylvania,University,Kutztown,PA,Pennsylvania State Employees Credit Union,Same,Yes,74,45,9
2012,Mountain State University Alumni Association,Alumni Association,Beckley,WV,UMB Bank,Same,Yes,8,40,-
2012,Millersville University of Pennsylvania,University,Millersville,PA,Pennsylvania State Employees Credit Union,Same,Yes,299,40,8
2012,Bloomsburg University of Pennsylvania,University,Bloomsburg,PA,Pennsylvania State Employees Credit Union,Same,Yes,642,35,7
2012,"Shippensburg University Student Services, Inc.",Other,Shippensburg,PA,Pennsylvania State Employees Credit Union,Same,Yes,47,35,7
2012,California University of Pennsylvania,University,California,PA,Pennsylvania State Employees Credit Union,Same,Yes,264,30,6
2012,Elizabethtown College,University,Elizabethtown,PA,Pennsylvania State Employees Credit Union,Same,Yes,44,30,6
2012,New York Women in Communications Foundation,Foundation,New York,NY,UMB Bank,New,Yes,5,27,-
2012,"Phi Rho Eta Fraternity, Inc.",Other,Chicago,IL,UMB Bank,New,Yes,1,27,-
2012,Mansfield University of Pennsylvania,University,Mansfield,PA,Pennsylvania State Employees Credit Union,Same,Yes,87,25,5
2012,New York Film Academy,University,New York,NY,UMB Bank,New,Yes,10,24,-
2012,College of West Africa Alumni AssociationUSA,Alumni Association,Bowie,MD,UMB Bank,Same  ,Yes  ,1,21,4
2012,ECSU Foundation,Foundation,Elizabeth City,NC,UMB Bank,New,Yes,3,19,-
2012,Florida Brass Drum & Bugle,Other,Pompano Beach,FL,UMB Bank,New,Yes,5,17,-
2012,Lock Haven University of Pennsylvania,University,Lock Haven,PA,Pennsylvania State Employees Credit Union,Same,Yes,54,10,2
2012,Clayton State Alumni Association,Alumni Association,Morrow ,GA,UMB Bank,Same,Yes,4,9,-
2012,Delaware Technical & Community College Educational,University,Dover,DE,UMB Bank,New,Yes,2,3,-
2012,UMKC School of Medicine,University,Kansas City,MO,UMB Bank,Same,Yes,2,2.25,2
2012,Beta Phi Pi,Other,Forest Park,IL,UMB Bank,New,Yes,1,2,-
2012,UMKC School of Biological Sciences,University,Kansas City,MO,UMB Bank,Same  ,Yes  ,1,1,-
2013,"UNIVERSITY OF MARYLAND ALUMNI ASSOCIATION, INC. and M CLUB FOUNDATION, UNIVERISTY OF MARYLAND, INC.","Alumni Association, Foundation",College Park,MD,Chase Bank,Same,No,0, -   ,-
2013,UNIVERSITY OF TENNESSEE,University,Knoxville,TN,Chase Bank,Amended,No,0, -   ,2
2013,VIRGINIA TECH ALUMNI ASSOCIATION,Alumni Association,Blacksburg,VA,Chase Bank,Amended,No,0, -   ,2
2013,Texas Christian University,University,Fort Worth,TX,"FIA Card Services, N.A.",Same,Yes,2965,-,-
2013,Tennessee Technological University Alumni Association,Alumni Association,Cookeville,TN,"FIA Card Services, N.A.",Amended,No,1324,-,-
2013,University of Nevada Reno Foundation,Foundation,Reno,NV,"FIA Card Services, N.A.",Same,No,1274,-,-
2013,Gamma Phi Beta International Sorority Inc,Other,Englewood,CO,"FIA Card Services, N.A.",Same,No,767,-,-
2013,University of Denver Alumni Association,Alumni Association,Denver,CO,"FIA Card Services, N.A.",Same,No,732,-,-
2013,Phi Delta Theta Fraternity,Other,Oxford,OH,"FIA Card Services, N.A.",Same,No,662,-,-
2013,Alpha Gamma Rho Fraternity,Other,Kansas City,MO,"FIA Card Services, N.A.",Same,No,561,-,-
2013,Lambda Chi Alpha Fraternity Inc,Other,Indianapolis,IN,"FIA Card Services, N.A.",Same,No,555,-,-
2013,Texas AandM University Commerce Alumni Association,Alumni Association,Commerce,TX,"FIA Card Services, N.A.",Same,No,475,-,-
2013,Delta Sigma Phi Fraternity,Other,Indianapolis,IN,"FIA Card Services, N.A.",Same,No,465,-,-
2013,Phi Kappa Tau Fraternity,Other,Oxford,OH,"FIA Card Services, N.A.",Same,No,346,-,-
2013,The Fraternity of Phi Gamma Delta Inc,Other,Lexington,KY,"FIA Card Services, N.A.",Same,No,240,-,-
2013,The Medical College of Virginia Alumni Association,Alumni Association,Richmond,VA,"FIA Card Services, N.A.",Same,Yes,240,-,-
2013,Wartburg College,University,Waverly,IA,"FIA Card Services, N.A.",Same,No,212,-,-
2013,Cheyney University of Pennsylvania,University,Cheyney,PA,Pennsylvania State Employees Credit Union,Same,Yes,9,-,-
2013,Keystone College Keystone College Parents,Foundation,La Plume,PA,Capital One,Same,Yes,2,-,-
2013,Talmudic University,University,Miami,FL,Capital One,Same,Yes,2,-,-
2013,Morehouse School of Medicine National Alumni Association,Alumni Association,Atlanta,GA,Capital One,Same,Yes,1,-,-
2013,UMKC School of Computing and Engineering,University,Kansas City,MO,UMB Bank,Same,YES,1,-,-
2013,Alumni Associationof CCNY,Alumni Association,New York,NY,UMB Bank,New,YES,0,-,-
2013,Carthage College,University,Kenosha,WI,UMB Bank,New,YES,0,-,-
2013,Indiana University of Pennsylvania Alumni Association,Alumni Association,Indiana,PA,Capital One,Same,Yes,0,-,-
2013,King's College,University,New York,NY,Capital One,Same,No,0,-,-
2013,Longwood University Alumni Association,Alumni Association,Farmville,VA,UMB Bank,New,YES,0,-,-
2013,McNeese State University Alumni Association,Alumni Association,Lake Charles,LA,UMB Bank,New,YES,0,-,-
2013,Murray State University Alumni Association,Alumni Association,Murray,KY,Commerce Bank,New,Yes,0,-,-
2013,New England Institute of Technology,Alumni Association,Warwick,RI,Capital One,Same,Yes,0,-,-
2013,Phi Kappa Phi Honor Society,Other,Baton Rouge,LA,Commerce Bank,New,Yes,0,-,-
2013,Russell Sage College Alumni Association,Alumni Association,Troy,NY,UMB Bank,New,YES,0,-,-
2013,"Sigma XI, The Scientific Research Society",Other,Research Triangle Park,NC,UMB Bank,New,YES,0,-,-
2013,Susquehanna University,University,Selinsgrove,PA,Pennsylvania State Employees Credit Union,New,Yes,0,-,-
2013,Syracuse Football Club,Alumni Association,Syracuse,NY,Capital One,Same,No,0,-,-
2013,Texas Tech University,Alumni Association,Lubbock,TX,Discover Bank,New,Yes,0,-,-
2013,UMKC College of Arts and Sciences,University,Kansas City,MO,UMB Bank,Same,YES,0,-,-
2013,UMKC Conservatory of Music and Dance,University,Kansas City,MO,UMB Bank,Same,YES,0,-,-
2013,UMKC School of Dentistry,University,Kansas City,MO,UMB Bank,Same,YES,0,-,-
2013,UMKC School of Education,University,Kansas City,MO,UMB Bank,Same,YES,0,-,-
2013,UMKC School of Graduate Studies,University,Kansas City,MO,UMB Bank,Same,YES,0,-,-
2013,UMKC School of Law,University,Kansas City,MO,UMB Bank,Same,YES,0,-,-
2013,UMKC School of Nursing,University,Kansas City,MO,UMB Bank,Same,YES,0,-,-
2013,UMKC School of Pharmacy,University,Kansas City,MO,UMB Bank,Same,YES,0,-,-
2013,University of North Texas Alumni Association,Alumni Association,Denton,TX,Commerce Bank,New,Yes,0,-,-
2013,University of Texas at Tyler Foundation,University,Tyler,TX,UMB Bank,Same,YES,0,-,-
2013,"Rutgers University Alumni Federation and Rutgers, the State University of New Jersey","Alumni Association, University",New Brunswick,NJ,U.S. Bank National Association ND,Same,Yes,5274,-,423
2013,Ole Miss Alumni Association,Alumni Association,Oxford,MS,Capital One,Same,Yes,636,-,313
2013,Georgetown University Alumni Association,Alumni Association,Washington,DC,"FIA Card Services, N.A.",Same,Yes,7086,-,235
2013,California Polytechnic State University Alumni Association,Alumni Association,San Luis Obispo,CA,Capital One,Same,Yes,214,-,205
2013,University of Utah,University,Salt Lake City,UT,University First Federal Credit Union,Same,YES,1337,-,179
2013,University of Texas at San Antonio Alumni Association,Alumni Association,San Antonio,TX,Capital One,Same,No,156,-,156
2013,Western Kentucky University Alumni Association,Alumni Association,Bowling Green,KY,Capital One,Same,Yes,194,-,137
2013,University of Massachusetts Amherst Alumni Association,Alumni Association,Amherst,MA,Capital One,Same,Yes,282,-,106
2013,University of Colorado Boulder Alumni Association,Alumni Association,Boulder,CO,"FIA Card Services, N.A.",Same,Yes,7054,-,88
2013,Wayne State University Alumni Assocation ,Alumni Association,Detroit,MI,Capital One,Same,Yes,315,-,83
2013,University Louisiana Lafayette Alumni Association,Alumni Association,Lafayette,LA,U.S. Bank National Association ND,Same,Yes,1397,-,81
2013,South Dakota State University Alumni Association,Alumni Association,Brookings,SD,U.S. Bank National Association ND,Same,Yes,639,-,80
2013,Duquesne University Alumni Association,Alumni Association,Pittsburgh,PA,U.S. Bank National Association ND,Same,Yes,1141,-,71
2013,Colorado State University Alumni Association,Alumni Association,Fort Collins,CO,U.S. Bank National Association ND,Terminated,No,1913,-,70
2013,University of Wisconsin Milwaukee Alumni Association,Alumni Association,Milwaukee,WI,U.S. Bank National Association ND,Same,Yes,1072,-,66
2013,"Slippery Rock State University Foundation, Inc.",Foundation,Slippery Rock,PA,U.S. Bank National Association ND,Same,Yes,672,-,57
2013,University of Wisconsin Eau Claire Foundation,Foundation,Eau Claire,WI,U.S. Bank National Association ND,Same,Yes,591,-,57
2013,University of Wisconsin Stevens Point Alumni Association,Alumni Association,Stevens Point,WI,U.S. Bank National Association ND,Same,Yes,390,-,57
2013,"SUNY College at Oneonta Alumni Association, Inc. ",Alumni Association,Oneonta,NY,U.S. Bank National Association ND,Same,Yes,582,-,55
2013,"UNIVERSITY OF FLORIDA ALUMNI ASSOCIATION, INC., University of Florida Foundation, Inc. and THE UNIVERSITY ATHLETIC ASSOCIATION, INC.","Alumni Association, Foundation, Other",Gainesville,FL,Chase Bank,Same,Yes,8681,-,54
2013,Delta Sigma Pi,Other,Oxford,OH,U.S. Bank National Association ND,Amended,Yes,702,-,48
2013,University of Alabama at Birmingham National Alumni Society,Alumni Association,Birmingham,AL,U.S. Bank National Association ND,Same,Yes,660,-,48
2013,Bridgewater State College Alumni Association,Alumni Association,Bridgewater,MA,U.S. Bank National Association ND,Same,Yes,563,-,48
2013,Pepperdine University Alumni Association,Alumni Association,Malibu,CA,U.S. Bank National Association ND,Same,Yes,678,-,46
2013,Weber State Alumni Association,Alumni Association,Ogden,VT,U.S. Bank National Association ND,Same,Yes,536,-,44
2013,University of Massachusetts Lowell,University,Lowell,MA,U.S. Bank National Association ND,Same,Yes,721,-,43
2013,Rhode Island College Alumni Association,Alumni Association,Providence,RI,U.S. Bank National Association ND,Same,Yes,664,-,43
2013,The Citadel Alumni Association,Alumni Association,Charleston,SC,U.S. Bank National Association ND,Same,Yes,405,-,36
2013,Bemidji State University Alumni Association,Alumni Association,Bemidji,MN,U.S. Bank National Association ND,Same,Yes,280,-,32
2013,University of North Alabama Alumni Association,Alumni Association,Florence,AL,U.S. Bank National Association ND,Same,Yes,322,-,31
2013,SUNY  Cortland Alumni Association,Alumni Association,Cortland,NY,U.S. Bank National Association ND,Terminated,No,629,-,27
2013,Miner Alumni Association(MO University of S&T),Alumni Association,Rolla,MO,U.S. Bank National Association ND,Terminated,No,438,-,27
2013,Zeta Tau Alpha Fraternity,Other,Indianapolis,IN,"FIA Card Services, N.A.",Same,No,1701,-,24
2013,The Alumni Associationof the State University College at Potsdam,Alumni Association,Potsdam,NY,U.S. Bank National Association ND,Same,Yes,373,-,23
2013,Ohio Northern University Alumni Association,Alumni Association,Ada,OH,U.S. Bank National Association ND,Same,Yes,349,-,21
2013,University of Hartford Alumni Association,Alumni Association,West Hartford,MA,U.S. Bank National Association ND,Terminated,No,629,-,20
2013,Northwest Missouri State University Alumni Association,Alumni Association,Maryville,MO,U.S. Bank National Association ND,Amended,Yes,341,-,20
2013,Northern Kentucky University Foundation,Foundation,Highland Heights,KY,U.S. Bank National Association ND,Same,Yes,319,-,18
2013,Florida Institute of Technology Alumni Association,Alumni Association,Melbourne,FL,U.S. Bank National Association ND,Terminated,No,352,-,17
2013,Loyola Marymount University,University,Los Angeles,CA,Discover Bank,New,Yes,12,-,13
2013,Institute of Management Accountants,Other,Montvale,NJ,"FIA Card Services, N.A.",Same,No,3575,-,11
2013,University of Scranton ,University,Scranton,PA,"FIA Card Services, N.A.",Same,Yes,1964,-,11
2013,University of Colorado at Colorado Springs Alumni Association,Alumni Association,Colorado Springs,CO,U.S. Bank National Association ND,Same,Yes,197,-,11
2013,Saint Peter's College Alumni Association,Alumni Association,Jersey City,NJ,U.S. Bank National Association ND,Terminated,No,305,-,10
2013,UNIVERSITY OF KENTUCKY ALUMNI ASSOCIATION,Alumni Association,Lexington,KY,Chase Bank,Same,Yes,5103,-,6
2013,Bowling Green State University Alumni AssociationInc,Alumni Association,Bowling Green,OH,"FIA Card Services, N.A.",Same,No,1575,-,5
2013,University of Alabama Huntsville Alumni Association,Alumni Association,Huntsville,Al,U.S. Bank National Association ND,Terminated,No,131,-,5
2013,Tau Kappa Epsilon Fraternity,Other,Indianapolis,IN,"FIA Card Services, N.A.",Same,No,276,-,4
2013,Northwestern University,University,Evanston,IL,GE Capital Retail Bank,Terminated,No,0,-,4
2013,NORTH CAROLINA STATE UNIVERSITY ALUMNI ASSOCIATION,Alumni Association,Raleigh,NC,Chase Bank,Same,Yes,5926,-,2
2013,West Point Association of Graduates,Alumni Association,West Point,NY,"FIA Card Services, N.A.",Same,No,3888,-,1
2013,University of Texas at El Paso Alumni Association,Alumni Association,El Paso,TX,"FIA Card Services, N.A.",Same,Yes,2307,-,1
2013,Sigma Alpha Epsilon Fraternity,Other,Evanston,IL,"FIA Card Services, N.A.",Same,No,1095,-,1
2013,Sigma Pi Fraternity International Inc,Other,Vincennes,IN,"FIA Card Services, N.A.",Same,No,633,-,1
2013,California Southern University,University,Irvine ,CA,Pen Air Federal Credit Union,same,Yes,2,-,1
2013,Penn State Alumni Association,Alumni Association,University Park,PA,"FIA Card Services, N.A.",Amended,Yes,57240,2807743,1956
2013,The Ex Students Association of The University of Texas,Alumni Association,Austin,TX,"FIA Card Services, N.A.",Amended,Yes,25080,2256234.66,496
2013,Alumni Associationof the University of Michigan,Alumni Association,Ann Arbor,MI,"FIA Card Services, N.A.",Same,Yes,29393,1900000,1414
2013,California Alumni Association,Alumni Association,Berkeley,CA,"FIA Card Services, N.A.",Same,Yes,16910,1358992,1245
2013,Association of Former Students of Texas AM University,Alumni Association,College Station,TX,"FIA Card Services, N.A.",Same,Yes,27371,1259689.55,551
2013,General Alumni Assoc of Univ of N Carolina at Chapel Hill,Alumni Association,Chapel Hill,NC,"FIA Card Services, N.A.",Same,Yes,15881,1250000,822
2013,Stanford Alumni Association,Alumni Association,Stanford,CA,"FIA Card Services, N.A.",Same,Yes,13428,1250000,414
2013,University of Arizona Alumni Association,Alumni Association,Tucson,AZ,"FIA Card Services, N.A.",Amended,Yes,10125,1217728,401
2013,Golden Key International Honour Society,Other,Atlanta,GA,"FIA Card Services, N.A.",Same,Yes,27953,1147678.76,724
2013,YALE UNIVERSITY,University,New Haven,CT,Chase Bank,Same,Yes,7729,1140000,8
2013,Purdue Alumni Association,Alumni Association,West Lafayette,IN,Purdue Federal Credit Union,Same,Yes,24504,1000000,3269
2013,Board of Regents of the University of Oklahoma,University,Norman,OK,"FIA Card Services, N.A.",Same,Yes,1171,1000000,1
2013,National Alumni Associationof the University of Alabama,Alumni Association,Tuscaloosa,AL,"FIA Card Services, N.A.",Same,Yes,11624,960000,324
2013,Wisconsin Alumni Association,Alumni Association,Madison,WI,"FIA Card Services, N.A.",Amended,Yes,17266,957396,559
2013,CORNELL ALUMNI FEDERATION,Alumni Association,Ithaca,NY,Chase Bank,Amended,No,0,900000,5
2013,The Kansas University Alumni Association,Alumni Association,Lawrence,KS,"INTRUST Bank, N.A.",SAME,YES,12130,876968,304
2013,Kansas State University Alumni Association,Alumni Association,Manhattan,KS,"INTRUST Bank, N.A.",SAME,YES,12891,839705,282
2013,The University of Georgia Foundation,Foundation,Athens,GA,"FIA Card Services, N.A.",Amended,Yes,17310,682920,568
2013,OKLAHOMA STATE UNIVERSITY ALUMNI ASSOCIATION,Alumni Association,Stillwater,OK,Chase Bank,Same,Yes,4900,600000,1
2013,University of California Irvine Alumni Association,Alumni Association,Irvine,CA,"FIA Card Services, N.A.",Same,Yes,3650,553857.73,2
2013,Trustees of the University of Pennsylvania,University,Philadelphia,PA,"FIA Card Services, N.A.",Amended,Yes,9129,525000,426
2013,Iowa State University Alumni Association,Alumni Association,Ames,IA,"FIA Card Services, N.A.",Amended,Yes,12037,521059.8,422
2013,University of Minnesota Alumni Association,Alumni Association,Minneapolis,MN,"FIA Card Services, N.A.",Same,Yes,1102,477550,446
2013,University of Illinois Alumni Association,Alumni Association,Urbana,IL,University of Illinois Community Credit Union,same,Yes,9658,475000,2111
2013,TEXAS TECH ALUMNI ASSOCIATION,Alumni Association,Lubbock,TX,Chase Bank,Amended,No,0,470000,4
2013,UCLA Alumni Association,Alumni Association,Los Angeles,CA,"FIA Card Services, N.A.",Same,Yes,23719,451335.65,2352
2013,Auburn Spirit Foundation,Foundation,Auburn,AL,"FIA Card Services, N.A.",Same,Yes,12655,412825,414
2013,University of Miami,University,Coral Gables,FL,"FIA Card Services, N.A.",Same,Yes,5709,405638.6,673
2013,Michigan State University,University,East Lansing,MI,Michigan State University Federal Credit Union,Same,Yes,2937,400000,762
2013,Indiana University Alumni Association,Alumni Association,Bloomington,IN,"FIA Card Services, N.A.",Amended,Yes,21789,393731.38,887
2013,New York University Alumni Association,Alumni Association,New York,NY,"FIA Card Services, N.A.",Amended,Yes,8524,383243.36,520
2013,Brown Alumni Association,Alumni Association,Providence,RI,"FIA Card Services, N.A.",Same,Yes,7250,375600,641
2013,University of California Santa Cruz Alumni Association,Alumni Association,Santa Cruz,CA,"FIA Card Services, N.A.",Same,Yes,2603,363651.71,4
2013,The William and Mary Alumni Association,Alumni Association,Williamsburg,VA,"FIA Card Services, N.A.",Same,Yes,4377,355000,191
2013,Mississippi State University Alumni Association,Alumni Association,Mississippi State,MS,"FIA Card Services, N.A.",Amended,Yes,5937,350000,252
2013,University of Missouri Alumni Association,Alumni Association,Columbia,MO,"FIA Card Services, N.A.",Same,Yes,9136,341355.04,438
2013,West Point Association of Graduates,Alumni Association,West Point,NY,USAA Savings Bank,New,Yes,538,325000,568
2013,Florida International University Foundation Inc,Foundation,Miami,FL,"FIA Card Services, N.A.",Same,Yes,5665,315000,167
2013,Clemson Alumni Association,Alumni Association,Clemson,SC,"FIA Card Services, N.A.",Amended,Yes,10559,307275,461
2013,Alumni Associationof the University of Oregon,Alumni Association,Eugene,OR,"Oregon Community Credit Union and OCCU Card Services, LLC",Amended,Yes,3167,305000,2208
2013,University of Cincinnati,University,Cincinnati,OH,"FIA Card Services, N.A.",Amended,Yes,320,300525,6
2013,UNIVERSITY OF CHICAGO,University,Chicago,IL,Chase Bank,Same,Yes,2154,300000,-
2013,Oregon State University Alumni Association,Alumni Association,Corvallis,OR,"Oregon Community Credit Union and OCCU Card Services, LLC",Same,Yes,1032,300000,828
2013,University of Central Florida Alumni Association,Alumni Association,Orlando,FL,"FIA Card Services, N.A.",Same,Yes,8554,300000,508
2013,Fordham University,University,Bronx,NY,"FIA Card Services, N.A.",Same,Yes,5793,285375,6
2013,LSU Alumni Association,Alumni Association,Baton Rouge,LA,"FIA Card Services, N.A.",Same,Yes,6793,252992.95,204
2013,University of Notre Dame,University,Notre Dame,IN,"FIA Card Services, N.A.",Same,Yes,4284,234167.45,1505
2013,The Foundation of the University of North Carolina at Charlotte,Foundation,Charlotte,NC,"FIA Card Services, N.A.",Amended,Yes,2099,227500,1
2013,Washington State University Alumni Association,Alumni Association,Pullman,WA,"FIA Card Services, N.A.",Amended,Yes,6231,223907.82,126
2013,Association of Graduates United States Air Force Academy,Alumni Association,Colorado Springs,CO,USAA Savings Bank,Same,Yes,2740,220055,179
2013,"Wichita State University Alumni Association, Inc. ",Alumni Association,Wichita,KS,"INTRUST Bank, N.A.",SAME,YES,3921,214049,329
2013,Northern Illinois University Alumni Association,Alumni Association,DeKalb,IL,"FIA Card Services, N.A.",Same,No,874,203698.43,2
2013,Temple University of the Commonwealth System of Higher Education,University,Philadelphia,PA,"FIA Card Services, N.A.",Same,Yes,2069,201557.93,348
2013,Virginia Tech University,Alumni Association,Blacksburg,VA,Discover Bank,New,Yes,93,200000,93
2013,American Association for Justice,Other,Washington,DC,"FIA Card Services, N.A.",Same,Yes,6315,199470.62,27
2013,University of Delaware Alumni Association,Alumni Association,Newark,DE,"FIA Card Services, N.A.",Amended,Yes,7843,190541,277
2013,Johns Hopkins University,University,Baltimore,MD,"FIA Card Services, N.A.",Same,Yes,5340,188201.13,291
2013,University of Southern California,University,Los Angeles,CA,USC Credit Union,Same,Yes,4656,175000,1167
2013,American Veterinary Medical Association,Other,Schaumburg,IL,"FIA Card Services, N.A.",Same,Yes,5157,174860,473
2013,The Trustees of Columbia University,University,New York,NY,"FIA Card Services, N.A.",Amended,Yes,7569,169947.98,533
2013,Villanova University,University,Villanova,PA,"FIA Card Services, N.A.",Same,Yes,4708,158670.36,291
2013,University of Maryland Alumni Association,Alumni Association,College Park,MD,Capital One,New,Yes,332,150000,351
2013,Central Michigan University,University,Mount Pleasant,MI,"FIA Card Services, N.A.",Same,Yes,355,150000,8
2013,University of Hawaii at Manoa,University,Honolulu,HI,"FIA Card Services, N.A.",Same,No,3671,150000,6
2013,Phi Theta Kappa International Honor Society,Other,Jackson,MS,"FIA Card Services, N.A.",Same,Yes,12021,142965.75,78
2013,Arkansas Alumni AssociationInc ,Alumni Association,Fayetteville,AR,"FIA Card Services, N.A.",Amended,Yes,4140,142874.3,360
2013,Montana State University Alumni Association,Alumni Association,Bozeman,MT,"FIA Card Services, N.A.",Same,Yes,3402,125375,6
2013,University of Nebraska-Lincoln,Alumni Association,Lincoln,NE,Discover Bank,New,Yes,873,125000,877
2013,American Chemical Society,Other,Washington,DC,"FIA Card Services, N.A.",Same,Yes,5166,123025.18,50
2013,Florida Atlantic University Foundation Inc,Foundation,Boca Raton,FL,"FIA Card Services, N.A.",Same,Yes,2536,120000,2
2013,University of South Florida Alumni Association,Alumni Association,Tampa,FL,USF Federal Credit Union,New,Yes,811,114421,495
2013,Alumni Associationof the University of Virginia,Alumni Association,Charlottesville,VA,"FIA Card Services, N.A.",Same,Yes,2378,114091.71,976
2013,University of Dayton,University,Dayton,OH,"FIA Card Services, N.A.",Same,Yes,1130,110000,-
2013,Seminole Boosters Inc,Other,Tallahassee,FL,"FIA Card Services, N.A.",Amended,Yes,6276,105947.69,3
2013,Ohio University Foundation,Foundation,Athens,OH,Comenity Capital Bank,New,Yes,84,101296,91
2013,St Johns University New York,University,Queens,NY,"FIA Card Services, N.A.",Same,Yes,6938,100452.42,7
2013,University of Memphis,University,Memphis,TN,"FIA Card Services, N.A.",Same,Yes,136,100150,4
2013,Boston University Alumni Association,Alumni Association,Boston,MA,Capital One,Same,Yes,0,100000,-
2013,Georgia Southern University Foundation Inc,Foundation,Statesboro,GA,"FIA Card Services, N.A.",Same,Yes,2479,100000,114
2013,Northern Illinois University,Alumni Association,DeKalb,IL,Discover Bank,New,Yes,13,100000,14
2013,The George Washington Alumni Association,Alumni Association,Washington,DC,"FIA Card Services, N.A.",Same,Yes,2722,96241.7,142
2013,Virginia Commonwealth University Alumni Association,Alumni Association,Richmond,VA,"FIA Card Services, N.A.",Same,Yes,1099,90000,-
2013,University of New Hampshire Alumni Association,Alumni Association,Durham,NH,"FIA Card Services, N.A.",Amended,Yes,4024,90000,236
2013,Towson University Foundation Inc,Foundation,Towson,MD,"FIA Card Services, N.A.",Same,Yes,2106,90000,3
2013,University of Southern Mississippi Alumni AssociationInc,Alumni Association,Hattiesburg,MS,"FIA Card Services, N.A.",Same,Yes,2007,85000,151
2013,University of Washington Alumni Association,Alumni Association,Seattle,WA,"FIA Card Services, N.A.",Amended,Yes,5317,75193.45,522
2013,Princeton University Alumni Association,Alumni Association,Princeton,NJ,Capital One,Same,Yes,27,75077,28
2013,Loyola College in Maryland,University,Baltimore,MD,"FIA Card Services, N.A.",Same,Yes,1599,75075,2
2013,Southern Illinois University Alumni Association,Alumni Association,Carbondale,IL,Capital One,Same,No,406,75000,369
2013,"California State University, Fresno ",Alumni Association,Fresno,CA,Discover Bank,New,Yes,142,75000,142
2013,Georgia State University Alumni AssociationInc,Alumni Association,Atlanta,GA,"FIA Card Services, N.A.",Same,Yes,2260,75000,83
2013,DePaul University,University,Chicago,IL,"FIA Card Services, N.A.",Same,Yes,357,75000,4
2013,Massachusetts Institute of Technology (MIT) Alumni Association,Alumni Association,Cambridge,MA,MIT Federal Credit Union,same,Yes,1159,67982,498
2013,Trustees of Boston College,University,Boston,MA,GE Capital Retail Bank,Terminated,No,0,67004.5,14
2013,University of Puerto Rico,University,San Juan,PR,Banco Popular de Puerto Rico,Same,Yes,16157,63875.99,760
2013,Sigma Theta Tau International Honor Society of Nursing Inc,Other,Indianapolis,IN,"FIA Card Services, N.A.",Amended,Yes,4098,62245.84,249
2013,Northwestern University,University,Evanston,IL,Discover Bank,New,Yes,109,62142,110
2013,University of Pittsburgh of the Commonwealth System of Higher Education,University,Pittsburgh,PA,"FIA Card Services, N.A.",Same,Yes,4889,60773,129
2013,East Carolina University Alumni AssociationInc,Alumni Association,Greenville,NC,"FIA Card Services, N.A.",Same,Yes,2436,60000,197
