REPORTING YEAR,INSTITUTION OR ORGANIZATION,TYPE OF INSTITUTION OR ORGANIZATION,CITY,STATE,CREDIT CARD ISSUER,STATUS,IN EFFECT AS OF BEGINNING OF NEXT YEAR,TOTAL OPEN ACCOUNTS AS OF END OF REPORTING YEAR,PAYMENTS BY ISSUER,NEW ACCOUNTS OPENED IN REPORTING YEAR
2009,University of North Alabama National Alumni Association,Alumni Association,Florence,AL,U.S. Bank National Association ND,,,800,-,19
2009,University of Wisconsin-Green Bay Alumni Association,Alumni Association,Green Bay,WI,"FIA Card Services, N.A.",,,727,-,19
2009,"Association of Graduates, United States Air Force Academy",Alumni Association,USAF Academy,CO,"FIA Card Services, N.A.",,,2151,-,18
2009,Bemidji State University Alumni Association,Alumni Association,Bemidji,MN,U.S. Bank National Association ND,,,642,-,16
2009,Western Connecticut State University,University,Danbury,CT,"FIA Card Services, N.A.",,,294,-,13
2009,University of Alabama Huntsville Alumni Association,Alumni Association,Huntsville,AL,U.S. Bank National Association ND,,,211,-,11
2009,"The VMI Alumni Association, Inc.",Alumni Association,Lexington,VA,"FIA Card Services, N.A.",,,315,-,10
2009,Virginia Tech Alumni Association,Alumni Association,Blacksburg,VA,Chase Bank,,,13624,-,8
2009,University of Texas at Tyler Alumni Association,Alumni Association,Tyler,TX,"FIA Card Services, N.A.",,,350,-,8
2009,The Medical College of Virginia Alumni Associationof Virginia Commonwealth University,Alumni Association,Richmond,VA,"FIA Card Services, N.A.",,,333,-,7
2009,Quinnipiac University,University,Hamden,CT,"FIA Card Services, N.A.",,,326,-,6
2009,Queen's University ,University,Kingston,ON,"FIA Card Services, N.A.",,,47,-,6
2009,North Carolina State University Alumni Association,Alumni Association,Raleigh,NC,Chase Bank,,,9714,-,5
2009,The Alumni Associationof the University of Virginia,Alumni Association,Charlottesville,VA,Chase Bank,,,7118,-,4
2009,Phi Eta Sigma,Other,Bowling Green,KY,"FIA Card Services, N.A.",,,2908,-,2
2009,Western Illinois University Alumni Association,Alumni Association,Macomb,IL,Chase Bank,,,2614,-,2
2009,"Omega Psi Phi Fraternity, Inc.",Other,Decatur,GA,"PNC Bank, N.A. ",,,898,-,2
2009,Nicholls State University Alumni Federation,Alumni Association,Thibodaux,LA,"FIA Card Services, N.A.",,,96,-,2
2009,Utah Valley State College,University,Orem,UT,"FIA Card Services, N.A.",,,545,-,1
